pUC57_pos	ss	pUC57_reads
22477590	5ss	10
2247766	3ss	233
22478512	3ss	10
22478609	5ss	50
22480344	3ss	50
224822368	5ss	137
224824251	3ss	137
224824719	5ss	172
224828473	3ss	172
224828651	5ss	397
224831580	3ss	397
2249071	3ss	10
225117537	5ss	73
225140372	3ss	73
225140481	5ss	152
225142661	3ss	152
225142800	5ss	181
225147855	3ss	168
225148004	5ss	215
225152181	3ss	228
225152311	5ss	140
225155133	3ss	140
225155285	5ss	148
225155382	3ss	13
225156461	3ss	135
225156576	5ss	152
225157336	3ss	25
225161793	3ss	127
225161855	5ss	91
225190485	3ss	38
225190629	5ss	40
225195115	3ss	93
225195246	5ss	14
22519569	5ss	13
225211317	3ss	14
225211567	5ss	12
225226396	3ss	12
225226525	5ss	12
225230537	3ss	12
225267250	5ss	15
225268081	3ss	15
225273491	5ss	10
225284820	3ss	10
225284941	5ss	13
225305386	3ss	13
225305490	5ss	16
225305583	3ss	16
225453071	5ss	11
225454343	3ss	11
225534	3ss	439
2256215	5ss	217
2256359	3ss	189
2256362	3ss	28
2256410	5ss	215
2256498	3ss	215
2256660	5ss	154
225677	5ss	385
2257036	3ss	154
2257111	5ss	131
2257194	3ss	131
2257346	5ss	235
2258211	3ss	235
2258335	5ss	143
2258451	3ss	143
2258614	5ss	215
2258760	3ss	215
225934	3ss	37
225965714	5ss	728
225971002	3ss	728
225971070	5ss	916
225972962	3ss	15
225974564	3ss	145
225974687	5ss	224
225975673	3ss	84
225976942	3ss	840
225976961	3ss	56
225997871	5ss	45
225998	3ss	385
226016426	3ss	45
226016613	5ss	119
226019480	3ss	119
226019660	5ss	168
226026355	3ss	168
226026582	5ss	125
226026918	3ss	125
226027047	5ss	68
226027530	3ss	68
226027738	5ss	144
226030067	3ss	144
226030175	5ss	143
22603049	5ss	26
226032199	3ss	143
226032324	5ss	115
226032847	3ss	115
22604585	3ss	26
22604771	5ss	10
22605485	5ss	462
226068	5ss	145
22606813	3ss	462
22606924	5ss	238
22607034	3ss	238
22607097	5ss	204
22607201	3ss	204
22607235	5ss	237
22607582	3ss	237
22607642	5ss	238
22607735	3ss	238
22607791	5ss	255
22607888	3ss	255
22607947	5ss	278
22608868	3ss	278
22610625	5ss	141
22611394	3ss	10
22615005	5ss	13
22615360	3ss	154
22615490	5ss	311
22615819	3ss	311
22615915	5ss	220
226162	5ss	220
22616524	3ss	220
22616579	5ss	158
22616671	3ss	158
22616721	5ss	155
22616879	3ss	155
22616987	5ss	355
22617063	3ss	355
22617108	5ss	286
22617529	3ss	286
22617627	5ss	291
22617977	3ss	291
22618057	5ss	198
22618142	3ss	198
226253510	5ss	71
226259052	3ss	71
2264931	3ss	21
2265093	5ss	24
22652576	5ss	101
22652898	3ss	13
22652972	5ss	35
2265403	3ss	24
2265564	5ss	42
22656514	3ss	35
22656720	5ss	14
22657469	3ss	11
22657589	3ss	90
22657662	5ss	207
22658308	3ss	207
22658479	5ss	147
22658589	3ss	14
22658732	5ss	16
22661155	3ss	123
22661198	3ss	24
2266132	3ss	42
22661386	5ss	154
22661471	3ss	154
2266199	5ss	42
2266283	3ss	42
22663184	5ss	33
22664101	3ss	33
22664248	5ss	70
2266428	5ss	31
22664424	3ss	16
22664561	5ss	11
22664591	3ss	70
22664766	5ss	47
2266759	3ss	31
2266893	5ss	41
22673254	3ss	47
2267353	3ss	41
2267477	5ss	22
22676227	5ss	15
22677019	3ss	15
2267890	3ss	22
2267957	5ss	36
2268191	3ss	36
2268351	5ss	41
2268509	3ss	41
2268635	5ss	37
22688445	5ss	50
22688740	5ss	16
22694696	5ss	81
22696396	3ss	66
22696560	5ss	258
22696703	3ss	11
22696820	5ss	12
2269743	5ss	2043
2270565	3ss	13
227059105	5ss	17
227063066	3ss	17
227063251	5ss	10
227069589	3ss	10
227069749	5ss	20
2270699	5ss	24
227071406	3ss	20
227071620	5ss	27
22707214	3ss	258
227073239	3ss	27
22707335	5ss	243
227076750	5ss	13
227077736	3ss	13
22707825	3ss	12
227079545	5ss	28
22707985	5ss	16
227081708	3ss	28
227081826	5ss	22
227083125	3ss	22
22710709	3ss	16
227128100	5ss	113
2271384	3ss	2043
227149078	3ss	113
227149263	5ss	140
227152701	3ss	140
2271529	5ss	3548
227153111	5ss	124
227153372	3ss	124
227153438	5ss	143
227165150	3ss	143
227165224	5ss	192
227169728	3ss	192
227169850	5ss	210
227170379	3ss	210
227170464	5ss	182
227170595	3ss	182
227170735	5ss	140
227171253	3ss	140
227171334	5ss	146
227171462	3ss	146
227171555	5ss	115
227171795	3ss	115
227171936	5ss	218
227172249	3ss	218
227172356	5ss	242
227172577	3ss	242
227172642	5ss	198
227172955	3ss	198
227173041	5ss	234
227174154	3ss	234
2271781	3ss	3548
2271953	5ss	2047
2272734	3ss	2047
22728101	5ss	24
22728164	3ss	24
2272819	5ss	4225
2272971	3ss	4225
22737604	3ss	81
2273771	5ss	34
22737831	5ss	51
2274556	3ss	48
2274709	5ss	42
22747838	3ss	243
22747979	5ss	143
22748919	3ss	51
22749715	5ss	47
22750460	3ss	47
22750583	5ss	90
2275484	3ss	42
2275548	5ss	39
2275637	3ss	39
2275782	5ss	39
22759251	3ss	143
22759314	5ss	133
2276247	3ss	39
2276375	5ss	31
2276625	3ss	31
2276807	5ss	18
227702870	5ss	10
227704125	3ss	10
227704343	5ss	16
22770666	3ss	133
22770807	5ss	198
227729320	3ss	16
227729842	5ss	49
227731902	3ss	49
227732034	5ss	37
227751425	5ss	59
227770215	3ss	37
227770307	5ss	15
227771509	3ss	37
227771597	5ss	64
227773538	3ss	64
227773594	5ss	66
22777392	3ss	198
22777499	5ss	135
227778924	3ss	66
227779067	5ss	43
22778497	5ss	51
22778520	5ss	246
22782781	5ss	21
227834245	3ss	37
227834371	5ss	75
2278373	3ss	34
227838657	3ss	53
227838777	5ss	46
227842037	3ss	68
2278524	5ss	42
227860147	3ss	43
2278786	3ss	18
22790793	3ss	21
22790889	5ss	23
2279169	5ss	68
227923200	5ss	38
227935393	3ss	38
227935934	5ss	129
2279431	3ss	68
227946696	3ss	129
227947186	5ss	218
227954660	3ss	218
227954784	5ss	188
2279555	5ss	42
2279571	3ss	42
22796697	3ss	246
2279676	5ss	56
227968228	3ss	188
22796956	5ss	149
2280027	3ss	42
2280109	5ss	45
2280253	3ss	45
2280362	5ss	48
22804428	3ss	23
22804601	5ss	25
2281151	3ss	48
22811948	3ss	149
22812088	5ss	244
2281247	5ss	30
22813997	3ss	244
22814139	5ss	149
22816373	3ss	51
22817138	5ss	75
22817893	3ss	75
22818026	5ss	70
2281891	5ss	34
228190143	5ss	351
228193394	3ss	286
228193505	5ss	293
228194322	3ss	14
228194499	5ss	37
228195342	3ss	339
228195562	5ss	666
228197135	3ss	708
228197304	5ss	670
22820344	3ss	90
228205008	3ss	670
228205096	5ss	570
228207461	3ss	84
228207535	5ss	69
228211942	3ss	337
228212100	5ss	295
22821532	3ss	12
2282172	3ss	56
228217230	3ss	294
228217289	5ss	283
228220393	3ss	502
228220477	5ss	390
228221702	3ss	390
2282330	3ss	30
2282365	5ss	18
22824206	3ss	137
22824289	5ss	154
2282457	3ss	18
2282497	5ss	40
2282577	5ss	58
2282610	5ss	18
22826434	3ss	154
22826594	5ss	220
228270466	5ss	676
228270551	5ss	26
2282726	3ss	40
2282757	3ss	58
22827985	3ss	70
22828177	5ss	68
228284779	3ss	702
228284963	5ss	1390
228285043	3ss	1390
228285153	5ss	2658
228285292	3ss	2658
228285416	5ss	2697
228285553	3ss	2697
22828792	3ss	68
22828934	5ss	76
2282909	5ss	50
228300	3ss	220
2283012	3ss	50
2283184	5ss	46
22832542	3ss	76
22832734	5ss	105
228328064	5ss	299
228328825	3ss	87
228328989	5ss	88
228333212	3ss	300
228333325	5ss	743
22833344	3ss	135
228333727	3ss	743
228333768	5ss	732
228334543	3ss	708
228334562	3ss	24
228334639	5ss	477
228335107	3ss	477
228335245	5ss	729
228335316	3ss	729
228335400	5ss	651
228336072	3ss	624
228336157	5ss	525
228336366	3ss	552
22833670	5ss	43
228337304	5ss	400
2283439	3ss	46
22834494	3ss	105
22834630	5ss	36
22835023	3ss	36
22835224	5ss	62
22835593	3ss	62
228356263	3ss	400
228356356	5ss	265
22835726	5ss	70
22835916	3ss	43
22835969	5ss	41
22836063	3ss	41
22836171	5ss	21
2283648	5ss	26
22837417	3ss	220
22837490	5ss	206
22837672	3ss	70
22837816	3ss	206
22837840	5ss	60
22838169	3ss	60
228384664	3ss	265
228384779	5ss	604
22838627	5ss	57
2283883	3ss	16
228388479	3ss	604
2283886	3ss	10
228388641	5ss	537
22838927	3ss	25
228389478	3ss	537
228389631	5ss	541
22839046	5ss	33
22839417	3ss	57
228395807	3ss	541
228395926	5ss	378
22839623	5ss	54
228398265	3ss	378
228398474	5ss	331
2283991	5ss	30
228399561	3ss	331
228399741	5ss	419
228401341	3ss	419
228401420	5ss	517
228401617	3ss	517
228401709	5ss	805
22840244	3ss	21
22840340	5ss	74
22840983	3ss	33
22841039	3ss	74
22841104	5ss	33
22841118	5ss	104
228416675	3ss	805
228416833	5ss	571
2284172	3ss	30
228418420	3ss	504
228418426	3ss	67
228418511	5ss	666
228419152	3ss	666
2284198	3ss	52
22842048	3ss	104
22842183	5ss	18
2284361	5ss	157
22843793	3ss	54
2284389	5ss	22
22843957	5ss	39
228448	5ss	342
22845762	3ss	18
2284584	3ss	22
22845876	5ss	27
22846554	3ss	39
22846768	5ss	62
22846863	3ss	27
22846952	5ss	27
2284782	5ss	81
22847989	3ss	62
22848151	5ss	59
22848238	3ss	27
22848331	5ss	40
2284860	3ss	81
22848870	3ss	59
22848875	3ss	40
22848956	5ss	58
22849121	5ss	16
22849612	3ss	33
22849792	5ss	10
2285002	5ss	80
22850711	3ss	58
2285082	3ss	80
22850907	3ss	16
22850937	5ss	47
22851109	5ss	16
2285144	5ss	52
2285217	3ss	52
22852695	3ss	47
22853734	3ss	16
22853849	5ss	29
22855027	3ss	29
22855295	5ss	19
22861737	3ss	19
22861935	5ss	35
22862139	5ss	30
22862885	3ss	30
22862935	3ss	35
22862988	5ss	50
22863473	3ss	50
22863658	5ss	29
22864241	3ss	29
22864369	5ss	35
22865259	5ss	31
22865506	3ss	31
22865624	5ss	25
22866716	3ss	35
22866800	5ss	55
22866896	3ss	55
22867016	5ss	52
22867458	3ss	52
228675579	5ss	235
22867636	5ss	30
228676661	3ss	235
228676753	5ss	528
228678703	5ss	2478
228680170	3ss	1280
228680173	3ss	1198
228680284	5ss	1444
22868051	3ss	25
228680754	3ss	528
228680975	5ss	270
228681023	3ss	1444
228681100	5ss	2143
228681584	3ss	270
228681778	3ss	2143
22868201	5ss	38
22868841	3ss	30
22868966	5ss	22
22869915	3ss	22
22870003	5ss	16
22872203	3ss	38
22872291	5ss	46
22872399	3ss	16
22872499	5ss	15
22873151	3ss	46
22873202	3ss	15
22873256	5ss	33
22874765	3ss	33
22881172	3ss	10
22881376	5ss	28
228871751	5ss	365
228873420	3ss	329
228873478	5ss	402
228879032	3ss	438
22892781	5ss	159
2289492	3ss	157
2289637	5ss	207
2290464	3ss	207
22906858	3ss	28
22906977	5ss	16
22909434	5ss	23
22910167	3ss	16
22925777	3ss	159
22925899	5ss	142
22925976	3ss	142
22926065	5ss	123
22928129	3ss	123
22928206	5ss	143
22928409	3ss	143
22928510	5ss	136
22929714	3ss	136
22929895	5ss	182
22933561	3ss	182
22933657	5ss	109
22933748	3ss	109
22933876	5ss	116
22935860	3ss	116
22935964	5ss	183
22939175	3ss	183
22939266	5ss	135
229407117	5ss	175
22940728	3ss	135
22940845	5ss	73
229422233	3ss	159
229422313	5ss	457
229424476	3ss	457
229424590	5ss	474
229431595	3ss	490
229431657	5ss	541
229433229	3ss	513
229433267	3ss	28
229433383	5ss	537
229434724	3ss	537
229434819	5ss	381
229438609	3ss	381
229438736	5ss	308
229439553	3ss	308
22945040	3ss	73
22945162	5ss	138
22946961	3ss	138
22947086	5ss	67
22954210	3ss	67
22954376	5ss	119
22955133	3ss	119
22955280	5ss	77
22956438	3ss	77
22956591	5ss	117
22958186	3ss	117
22958342	5ss	176
22960793	3ss	176
22960889	5ss	178
22962255	3ss	178
22962331	5ss	177
22962440	3ss	177
22962548	5ss	115
22963755	3ss	115
22963874	5ss	154
22969163	3ss	154
22969362	5ss	143
229762103	5ss	60
229763368	3ss	60
229763506	5ss	71
229768016	3ss	71
229768192	5ss	45
229770664	3ss	45
229773994	5ss	43
229779280	3ss	43
229779440	5ss	52
229781606	3ss	52
229781716	5ss	82
229783257	3ss	82
229783499	5ss	50
229786982	3ss	50
229787069	5ss	73
22978808	5ss	11
229789996	3ss	73
229790135	5ss	90
229794847	3ss	90
22980091	3ss	143
22980178	5ss	107
22990057	3ss	107
22990200	5ss	125
22991132	3ss	125
22991222	5ss	107
22993025	3ss	107
22993155	5ss	173
22997797	3ss	173
22997869	5ss	183
22998424	3ss	183
22998518	5ss	117
22999339	3ss	117
22999577	5ss	132
23000096	3ss	132
23000243	5ss	127
23002876	3ss	127
230203153	5ss	194
230313964	3ss	194
230314057	5ss	182
230338883	3ss	182
230339036	5ss	193
230371760	3ss	193
230371858	5ss	172
230372099	3ss	172
230372166	5ss	196
230372406	3ss	196
230372471	5ss	195
230379052	3ss	195
230379173	5ss	219
230381809	3ss	219
230381896	5ss	218
230384930	3ss	218
230385017	5ss	288
230386203	3ss	288
230386306	5ss	180
230390964	3ss	180
230391090	5ss	160
230398319	3ss	160
230398411	5ss	176
230398668	3ss	176
230398751	5ss	372
230400987	3ss	372
230401113	5ss	336
230410191	3ss	336
230410310	5ss	365
230415049	3ss	365
23067238	5ss	77
23070572	3ss	77
23070660	5ss	145
23072295	3ss	145
23072667	5ss	105
23072830	3ss	105
23072984	5ss	128
23075328	3ss	128
23075439	5ss	110
230778424	5ss	99
23078630	3ss	110
230787325	5ss	10
23078816	5ss	107
230795210	3ss	99
230795371	5ss	119
230796504	3ss	119
230796569	5ss	185
23079765	3ss	107
230798887	3ss	185
230798967	5ss	250
230800230	3ss	250
230800333	5ss	244
230804422	3ss	244
230804530	5ss	181
230805102	3ss	181
230805281	5ss	106
230807262	3ss	106
230807386	5ss	159
230810744	3ss	159
230810870	5ss	88
230814659	3ss	88
230814798	5ss	105
230819320	3ss	105
230819381	5ss	77
230820831	3ss	77
230820982	5ss	141
230822681	3ss	141
230822878	5ss	108
230823817	3ss	108
230823889	5ss	112
230824166	3ss	112
230824308	5ss	134
230825760	3ss	134
230825899	5ss	157
230827130	3ss	157
230827310	5ss	96
230829038	3ss	96
230840957	3ss	10
230841065	5ss	30
230861467	3ss	30
230991	3ss	342
23104337	5ss	13
23104507	5ss	58
23106723	3ss	71
23106894	5ss	120
231115	5ss	219
231115025	5ss	31
231124066	3ss	31
231124185	5ss	23
231125856	3ss	23
231126009	5ss	22
23112760	3ss	120
23112945	5ss	102
231131506	3ss	22
231131730	5ss	47
231132867	3ss	47
231133013	5ss	44
231135884	3ss	44
23113973	3ss	102
23114106	5ss	216
23115546	3ss	216
23115594	5ss	228
23115843	3ss	228
23115962	5ss	71
23116245	3ss	71
23116343	5ss	110
23116579	3ss	96
23116639	5ss	100
23117657	3ss	114
23117836	5ss	108
23118051	3ss	108
231213782	5ss	20
231222520	3ss	20
231222682	5ss	53
231223679	3ss	53
231223847	5ss	61
231226329	3ss	61
231226412	5ss	46
231235623	3ss	46
231235682	5ss	73
231236313	3ss	73
231236366	5ss	81
231248225	3ss	81
231248290	5ss	87
231249939	3ss	87
231250019	5ss	56
231253274	3ss	56
231253348	5ss	40
231254634	3ss	40
231254738	5ss	39
231256802	3ss	39
231256944	5ss	21
231258129	3ss	21
231266522	5ss	40
231267513	3ss	40
231282380	5ss	12
231307652	3ss	12
231307814	5ss	14
231308893	3ss	14
231309061	5ss	14
231311534	3ss	14
231311617	5ss	24
231313803	3ss	24
231313865	5ss	29
231314276	3ss	29
231314425	5ss	17
231314887	3ss	17
231314970	5ss	13
231325977	3ss	13
231327233	5ss	19
231328782	3ss	19
231328865	5ss	18
231331016	3ss	18
231331930	5ss	14
231333758	3ss	14
231333811	5ss	10
231334730	3ss	10
231377202	5ss	325
231386707	3ss	288
231386710	3ss	16
231386889	5ss	411
231396253	3ss	432
231396429	5ss	631
231398469	3ss	631
231398598	5ss	704
231401039	3ss	704
231401166	5ss	237
231401458	3ss	237
231401533	5ss	228
231401760	3ss	228
231401911	5ss	375
231402023	3ss	375
231402153	5ss	417
231403426	3ss	417
231403649	5ss	586
231406504	3ss	586
231406746	5ss	308
231408058	3ss	308
231408137	5ss	368
231409668	3ss	368
231409808	5ss	296
231410967	3ss	296
231411066	5ss	430
231411151	3ss	430
231411244	5ss	686
231411881	3ss	686
231411942	5ss	752
231413245	3ss	752
23145670	5ss	101
23145765	5ss	87
23146019	3ss	101
23146146	5ss	218
23146529	3ss	218
23146666	5ss	96
23147379	3ss	96
231474350	5ss	69
231475515	3ss	69
231475614	5ss	66
23147982	5ss	106
231483543	3ss	66
231483671	5ss	84
231487050	3ss	84
231487317	5ss	83
231488356	3ss	83
23148874	3ss	106
23149046	5ss	85
23150816	3ss	85
23150886	5ss	76
23152282	3ss	76
23152377	5ss	124
23153480	3ss	124
231577945	5ss	98
231624674	3ss	98
231624830	5ss	182
23163396	3ss	87
23163498	5ss	85
23164307	3ss	85
23164400	5ss	90
23164667	3ss	90
23164791	5ss	113
23165380	3ss	61
231655587	3ss	182
231655751	5ss	301
231657928	3ss	301
231658046	5ss	153
231663444	3ss	153
231663612	5ss	208
231664572	5ss	214
231665001	3ss	214
231665105	5ss	280
231672959	3ss	280
231673073	5ss	216
231674978	3ss	208
231675037	5ss	142
231678227	3ss	216
231678357	5ss	237
231678764	3ss	142
231678829	5ss	287
231682469	3ss	287
231682612	5ss	606
231683231	3ss	606
231696874	3ss	237
231697001	5ss	348
231700274	3ss	348
231729860	5ss	234
231738132	3ss	176
231738272	5ss	258
231740335	3ss	316
231740523	5ss	594
231741572	3ss	594
231741682	5ss	371
231742115	3ss	371
231742265	5ss	397
231742723	3ss	397
23180388	3ss	52
23180563	5ss	65
23183470	3ss	65
23183644	5ss	104
231902376	5ss	56
231902914	5ss	71
231906011	3ss	127
231906124	5ss	283
231911574	3ss	12
231911597	3ss	271
23191686	3ss	104
23191828	5ss	70
231921755	5ss	544
231925981	3ss	544
231926024	5ss	723
231926962	3ss	723
231927035	5ss	950
231927220	3ss	950
231927389	5ss	632
231931620	3ss	632
231931825	5ss	332
231934739	3ss	332
231934882	5ss	367
231936903	3ss	367
231937129	5ss	861
231940225	3ss	861
231940285	5ss	1094
231941748	3ss	1094
231941876	5ss	705
231943373	3ss	705
231943461	5ss	972
231944250	3ss	972
231944328	5ss	640
231944855	3ss	640
231945028	5ss	446
231947597	3ss	446
231947708	5ss	816
231948281	3ss	816
231948477	5ss	470
231949733	3ss	470
231949828	5ss	454
231951831	3ss	454
231951895	5ss	625
232003450	3ss	625
232003564	5ss	710
232010954	3ss	710
232011070	5ss	390
232018278	3ss	390
232018380	5ss	511
232026054	3ss	511
232026223	5ss	943
232028349	3ss	943
232028441	5ss	1098
232029914	3ss	1098
232030000	5ss	1465
232030585	3ss	1465
232030731	5ss	1316
232035280	3ss	1316
232035435	5ss	487
232037249	3ss	487
23205317	3ss	70
23205557	5ss	68
23207455	3ss	68
23207656	5ss	94
232079714	5ss	10
232081351	3ss	10
232081506	5ss	10
232087441	3ss	10
232087533	5ss	16
232091487	3ss	16
232091511	5ss	13
232099937	3ss	13
232100094	5ss	15
232104656	3ss	15
232104754	5ss	10
232121299	3ss	10
23212567	3ss	94
23212664	5ss	84
23213634	3ss	84
232160966	5ss	10
23219539	5ss	13
232196505	3ss	10
232196609	5ss	18
232209687	3ss	18
23221825	5ss	151
23221965	3ss	13
23222073	5ss	15
23222108	5ss	10
23222907	3ss	15
23224689	3ss	161
23224917	5ss	167
23226671	3ss	167
23226765	5ss	218
2323397	5ss	216
23235458	3ss	218
23235534	5ss	132
23235973	5ss	320
23236299	3ss	132
23236385	5ss	123
23236457	3ss	320
23236618	5ss	564
23237068	5ss	16
23237167	3ss	564
23237380	5ss	582
23238937	3ss	16
23239000	3ss	582
23239077	3ss	123
23239143	5ss	399
23239161	5ss	53
23239402	3ss	399
23239487	5ss	550
23239670	3ss	550
23239787	3ss	53
23239834	5ss	524
23240014	3ss	524
23240118	5ss	739
23240227	3ss	739
23240389	5ss	629
23240477	3ss	629
23240557	5ss	809
23240643	3ss	809
2324647	3ss	15
2324709	3ss	44
2324794	5ss	82
232573461	5ss	9964
232576058	3ss	9964
232576129	5ss	9740
232576597	3ss	1018
232576600	3ss	8722
232576693	5ss	8973
232577153	3ss	8973
232577226	5ss	9138
232577514	3ss	9138
232646593	5ss	11
232651248	5ss	60
232653265	3ss	71
232653442	5ss	84
232656443	3ss	84
232656518	5ss	105
232658973	3ss	105
232659061	5ss	135
232660816	3ss	135
232661018	5ss	123
232663569	3ss	123
232663674	5ss	186
232672197	3ss	186
2327223	3ss	239
2327310	5ss	333
23277956	5ss	28
23278065	3ss	28
23278242	5ss	16
23278346	3ss	16
23281215	5ss	14
232826475	5ss	10
23282852	3ss	14
23284035	3ss	23
2328555	3ss	333
2328659	5ss	395
2328774	5ss	31
232879545	3ss	10
232879689	5ss	51
232880224	3ss	51
232880381	5ss	59
232888987	3ss	59
232889040	5ss	74
232894689	3ss	74
232894790	5ss	14
232952197	3ss	14
232952431	5ss	52
23299149	5ss	522
23299153	5ss	13
23299157	5ss	83
23299259	3ss	385
23299262	3ss	233
23299319	5ss	1058
23299396	3ss	1058
23299463	5ss	1039
232995329	3ss	52
232995429	5ss	34
233001182	3ss	34
233001429	5ss	14
23300173	3ss	17
23300246	5ss	15
23302627	3ss	1012
23302691	5ss	672
23302698	5ss	16
233028169	3ss	14
233028342	5ss	37
23303381	3ss	713
23306134	5ss	124
233075036	3ss	37
233075115	5ss	11
2330854	3ss	395
233086490	5ss	91
233091303	3ss	91
233091465	5ss	117
233092093	3ss	117
233092189	5ss	159
2330953	5ss	640
233103243	3ss	11
233103355	5ss	33
233105655	3ss	159
233105864	5ss	203
23310700	3ss	124
23310848	5ss	110
23311122	3ss	110
23311244	5ss	112
233113909	3ss	203
233113949	3ss	33
233114056	5ss	57
23311619	3ss	112
23311926	5ss	97
23312466	3ss	97
23312627	5ss	159
233127917	3ss	57
233128150	5ss	17
23312919	3ss	159
23313079	5ss	94
23313233	5ss	13
23313580	3ss	94
23313684	3ss	13
23313718	5ss	91
23313839	3ss	91
23313989	5ss	153
23314460	3ss	153
23314575	5ss	223
23314917	3ss	223
233164750	3ss	17
233164829	5ss	26
23317008	5ss	16
23318750	3ss	16
233194523	3ss	26
233194706	5ss	28
233195400	3ss	28
233195486	5ss	17
233198550	3ss	17
233199445	5ss	25
233200483	3ss	25
2332296	3ss	640
2332374	5ss	507
23331698	5ss	109
233320976	5ss	10
233321059	3ss	10
233321175	5ss	11
233321290	3ss	11
233321405	5ss	23
233321609	3ss	23
233321783	5ss	15
233321860	3ss	15
233322032	5ss	15
233322275	3ss	15
233322409	5ss	45
233322505	3ss	45
233322577	5ss	42
233322708	3ss	42
233322842	5ss	16
233322927	3ss	16
233323118	5ss	30
233323342	3ss	30
233323458	5ss	16
233323570	3ss	16
23334618	3ss	109
2333646	3ss	507
2333781	5ss	550
23339227	5ss	416
23340458	3ss	416
23340636	5ss	723
233415454	5ss	436
23341546	5ss	111
233415928	5ss	12
23341947	3ss	111
23341991	5ss	111
233421126	3ss	448
233421240	5ss	326
233422594	3ss	298
233422728	5ss	329
23342520	3ss	111
23342655	5ss	119
23342874	5ss	15
233428957	3ss	357
233429061	5ss	614
233431539	3ss	614
233431691	5ss	384
233431788	3ss	384
233431924	5ss	393
233433655	3ss	315
233438973	3ss	26
233439051	5ss	22
23344264	3ss	119
23344454	5ss	102
233445614	3ss	74
23344564	3ss	102
2334474	3ss	550
23345000	3ss	15
23345552	5ss	10
23345581	5ss	104
23345898	3ss	104
2334601	3ss	31
23346027	5ss	96
23346149	3ss	96
23346384	5ss	49
23346440	5ss	358
233464579	5ss	10
2334720	5ss	26
23347487	3ss	723
23347568	5ss	620
23347640	3ss	49
23347674	5ss	13
23347734	5ss	51
233482188	3ss	10
233482368	5ss	11
233489553	3ss	11
233489701	5ss	10
23348975	3ss	633
233490582	3ss	10
23349399	3ss	51
23349566	5ss	81
233498039	5ss	20
23350221	3ss	81
23350378	5ss	53
23350728	3ss	40
23350774	3ss	13
233507784	3ss	20
233511812	5ss	11
233512176	3ss	11
233515456	5ss	16
233518051	3ss	16
233562102	5ss	64
233565295	3ss	16
233565364	5ss	35
233568134	3ss	83
233568199	5ss	88
23356962	3ss	368
23357127	5ss	732
233589284	3ss	10
233592	3ss	219
233599127	3ss	20
233599196	5ss	16
233599865	3ss	74
233599948	5ss	63
233612325	3ss	63
233612454	5ss	73
233613697	3ss	73
233613792	5ss	96
233620933	3ss	96
233621044	5ss	122
233625190	3ss	122
233625301	5ss	98
233626106	3ss	98
233626146	5ss	113
233651860	3ss	113
233652039	5ss	174
233655408	3ss	164
233655426	3ss	10
233655625	5ss	150
233655718	3ss	150
233655880	5ss	134
233655968	3ss	134
233656156	5ss	125
233659458	3ss	125
233659654	5ss	103
233660772	3ss	103
233660931	5ss	146
233671201	3ss	146
233671367	5ss	202
233674430	3ss	202
233674521	5ss	74
233675954	3ss	74
233676061	5ss	76
233677101	3ss	76
233677201	5ss	132
233680347	3ss	132
233680447	5ss	180
233681581	3ss	180
233681742	5ss	191
233684537	3ss	191
233684695	5ss	155
233697567	3ss	155
233697803	5ss	71
233704559	3ss	71
233704681	5ss	102
233708756	3ss	102
233708965	5ss	89
233709079	3ss	89
23370920	3ss	283
233709284	5ss	66
23370979	5ss	279
233710442	3ss	66
233710596	5ss	93
233712058	3ss	93
233712281	5ss	112
233714972	3ss	112
233715119	5ss	122
233721503	3ss	122
233740832	5ss	22
233740957	3ss	22
2337442	3ss	26
233760	5ss	325
2337624	5ss	22
23376880	3ss	728
23377013	5ss	467
23380254	3ss	467
23380332	5ss	465
23381562	3ss	465
23381654	5ss	586
23382425	3ss	586
23382531	5ss	569
23383977	3ss	569
23384058	5ss	881
23384655	5ss	70
23385566	3ss	881
23385660	5ss	477
23386725	5ss	86
2338751	3ss	22
2338840	5ss	55
2339068	3ss	55
2339207	5ss	44
23393073	3ss	70
23393173	5ss	100
23395032	3ss	477
23395174	5ss	508
23395554	3ss	508
23395644	5ss	827
23397718	3ss	827
23397852	5ss	484
2339823	3ss	34
2339826	3ss	10
23398617	3ss	484
23398690	5ss	410
23399171	3ss	100
23399247	5ss	117
2339965	5ss	15
23399785	3ss	410
23399896	5ss	521
2340075	3ss	15
23403721	3ss	521
23403853	5ss	731
23405483	3ss	731
23405670	5ss	547
23406046	3ss	547
23406160	5ss	503
23407939	3ss	503
23408066	5ss	566
23408233	3ss	117
23408380	5ss	120
23408713	3ss	566
23408859	5ss	739
23408943	3ss	13
23409672	3ss	726
23409687	3ss	120
2341012	5ss	29
23412756	5ss	13
234160588	5ss	107
234164748	3ss	107
234164841	5ss	244
234171776	3ss	244
234171881	5ss	189
234172638	3ss	189
234172711	5ss	160
234173538	3ss	160
234173789	5ss	79
234178648	3ss	79
234178713	5ss	70
234181612	3ss	70
234181698	5ss	108
234182367	3ss	38
234182423	5ss	34
234183322	3ss	104
234183424	5ss	78
234186214	3ss	78
234186319	5ss	88
234189751	3ss	88
234189821	5ss	114
234191328	3ss	114
234191399	5ss	124
234198500	3ss	124
234198620	5ss	91
234198894	3ss	91
234198999	5ss	110
234200774	3ss	110
234200923	5ss	105
234201033	3ss	105
234201080	5ss	80
234201902	3ss	80
234202003	5ss	61
234202903	3ss	61
