ENSG00000000003	TSPAN6	"tetraspanin 6"
ENSG00000207013	RNU6-804P	"RNA, U6 small nuclear 804, pseudogene"
ENSG00000207014	SNORD116-3	"small nucleolar RNA, C/D box 116-3"
ENSG00000207016	SNORA36C	"small nucleolar RNA, H/ACA box 36C"
ENSG00000207019	RNU6-167P	"RNA, U6 small nuclear 167, pseudogene"
ENSG00000207020	RF00019	""
ENSG00000207021	RF00019	""
ENSG00000207022	RF00432	""
ENSG00000207023	RNU6-975P	"RNA, U6 small nuclear 975, pseudogene"
ENSG00000207024	RF00019	""
ENSG00000207025	RF00019	""
ENSG00000207026	RNU6-472P	"RNA, U6 small nuclear 472, pseudogene"
ENSG00000207027	RF00272	""
ENSG00000207029	RNU6-43P	"RNA, U6 small nuclear 43, pseudogene"
ENSG00000207031	SNORD59A	"small nucleolar RNA, C/D box 59A"
ENSG00000207032	RF00019	""
ENSG00000207033	RNU6-154P	"RNA, U6 small nuclear 154, pseudogene"
ENSG00000207034	RF00019	""
ENSG00000207036	RNY3P14	"RNA, Ro-associated Y3 pseudogene 14"
ENSG00000207037	RNU6-339P	"RNA, U6 small nuclear 339, pseudogene"
ENSG00000207039	RF00019	""
ENSG00000207041	RNU6-3P	"RNA, U6 small nuclear 3, pseudogene"
ENSG00000207042	RNU6-196P	"RNA, U6 small nuclear 196, pseudogene"
ENSG00000207044	RNU6-1226P	"RNA, U6 small nuclear 1226, pseudogene"
ENSG00000207045	RNU6-532P	"RNA, U6 small nuclear 532, pseudogene"
ENSG00000207046	RNU6-886P	"RNA, U6 small nuclear 886, pseudogene"
ENSG00000207047	SNORD51	"small nucleolar RNA, C/D box 51"
ENSG00000207049	RF00019	""
ENSG00000207051	SNORA27	"small nucleolar RNA, H/ACA box 27"
ENSG00000207052	RNU6-378P	"RNA, U6 small nuclear 378, pseudogene"
ENSG00000207053	RNU6-937P	"RNA, U6 small nuclear 937, pseudogene"
ENSG00000207056	RNU1-8P	"RNA, U1 small nuclear 8, pseudogene"
ENSG00000207058	RNU6-784P	"RNA, U6 small nuclear 784, pseudogene"
ENSG00000207060	RNU6-480P	"RNA, U6 small nuclear 480, pseudogene"
ENSG00000207061	RF00019	""
ENSG00000207062	SNORA15B-2	"small nucleolar RNA, H/ACA box 15B-2"
ENSG00000207063	SNORD116-1	"small nucleolar RNA, C/D box 116-1"
ENSG00000207065	RNU5A-2P	"RNA, U5A small nuclear 2, pseudogene"
ENSG00000207067	SNORA72	"small nucleolar RNA, H/ACA box 72"
ENSG00000207068	RNU6-463P	"RNA, U6 small nuclear 463, pseudogene"
ENSG00000207069	RF00019	""
ENSG00000207071	RNU6-1207P	"RNA, U6 small nuclear 1207, pseudogene"
ENSG00000207072	RNU6-39P	"RNA, U6 small nuclear 39, pseudogene"
ENSG00000207073	RF00019	""
ENSG00000207075	RF00019	""
ENSG00000207076	RNU6-1113P	"RNA, U6 small nuclear 1113, pseudogene"
ENSG00000207077	RNU6-1119P	"RNA, U6 small nuclear 1119, pseudogene"
ENSG00000207080	RF00019	""
ENSG00000207081	RNU6-616P	"RNA, U6 small nuclear 616, pseudogene"
ENSG00000207082	RNU6-171P	"RNA, U6 small nuclear 171, pseudogene"
ENSG00000207083	RNU6-22P	"RNA, U6 small nuclear 22, pseudogene"
ENSG00000207084	RF00139	""
ENSG00000207086	RF00019	""
ENSG00000207087	RNU6-242P	"RNA, U6 small nuclear 242, pseudogene"
ENSG00000207088	SNORA7B	"small nucleolar RNA, H/ACA box 7B"
ENSG00000207089	RNU6-921P	"RNA, U6 small nuclear 921, pseudogene"
ENSG00000207090	RNU6-517P	"RNA, U6 small nuclear 517, pseudogene"
ENSG00000207091	RF00019	""
ENSG00000207092	RF00019	""
ENSG00000207093	SNORD116-8	"small nucleolar RNA, C/D box 116-8"
ENSG00000207094	RF00272	""
ENSG00000207095	RNU6-424P	"RNA, U6 small nuclear 424, pseudogene"
ENSG00000207097	RNU6-614P	"RNA, U6 small nuclear 614, pseudogene"
ENSG00000207098	RF00156	""
ENSG00000207099	RNU6-166P	"RNA, U6 small nuclear 166, pseudogene"
ENSG00000207100	RF00393	""
ENSG00000207101	RF00019	""
ENSG00000207104	RNU6-434P	"RNA, U6 small nuclear 434, pseudogene"
ENSG00000207105	RF00019	""
ENSG00000207108	RF00019	""
ENSG00000207109	SNORD38C	"small nucleolar RNA, C/D box 38C"
ENSG00000207110	RNU1-106P	"RNA, U1 small nuclear 106, pseudogene"
ENSG00000207112	SNORA25	"small nucleolar RNA, H/ACA box 25"
ENSG00000207113	RNU6-16P	"RNA, U6 small nuclear 16, pseudogene"
ENSG00000207114	RNU6-348P	"RNA, U6 small nuclear 348, pseudogene"
ENSG00000207115	RNU6-364P	"RNA, U6 small nuclear 364, pseudogene"
ENSG00000207116	RNU6-31P	"RNA, U6 small nuclear 31, pseudogene"
ENSG00000207117	RF00019	""
ENSG00000207118	SNORD14D	"small nucleolar RNA, C/D box 14D"
ENSG00000207119	RF00012	""
ENSG00000207121	RNU6-1230P	"RNA, U6 small nuclear 1230, pseudogene"
ENSG00000207122	RNU6-591P	"RNA, U6 small nuclear 591, pseudogene"
ENSG00000207123	RF00019	""
ENSG00000207124	RNU6-163P	"RNA, U6 small nuclear 163, pseudogene"
ENSG00000207127	RF00019	""
ENSG00000207128	RNU6-729P	"RNA, U6 small nuclear 729, pseudogene"
ENSG00000207129	RNA5SP187	"RNA, 5S ribosomal pseudogene 187"
ENSG00000207130	RF00399	""
ENSG00000207131	RF00019	""
ENSG00000207132	RF00019	""
ENSG00000207133	SNORD116-7	"small nucleolar RNA, C/D box 116-7"
ENSG00000207134	RNU6-106P	"RNA, U6 small nuclear 106, pseudogene"
ENSG00000207135	RNU6-452P	"RNA, U6 small nuclear 452, pseudogene"
ENSG00000207136	RNU6-769P	"RNA, U6 small nuclear 769, pseudogene"
ENSG00000207137	SNORD116-13	"small nucleolar RNA, C/D box 116-13"
ENSG00000207138	RNU6-869P	"RNA, U6 small nuclear 869, pseudogene"
ENSG00000207139	RF00019	""
ENSG00000207142	RF00019	""
ENSG00000207144	RNU6-1297P	"RNA, U6 small nuclear 1297, pseudogene"
ENSG00000207145	SNORA18	"small nucleolar RNA, H/ACA box 18"
ENSG00000207146	RF00019	""
ENSG00000207147	RF00432	""
ENSG00000207148	RF00019	""
ENSG00000207149	RNU6-465P	"RNA, U6 small nuclear 465, pseudogene"
ENSG00000207150	RNU6-185P	"RNA, U6 small nuclear 185, pseudogene"
ENSG00000207151	RF00019	""
ENSG00000207153	RNU6-933P	"RNA, U6 small nuclear 933, pseudogene"
ENSG00000207154	RNU1-46P	"RNA, U1 small nuclear 46, pseudogene"
ENSG00000207155	RNY1P14	"RNA, Ro-associated Y1 pseudogene 14"
ENSG00000207156	RNU6-505P	"RNA, U6 small nuclear 505, pseudogene"
ENSG00000207157	RNY3P4	"RNA, Ro-associated Y3 pseudogene 4"
ENSG00000207158	RNU6-929P	"RNA, U6 small nuclear 929, pseudogene"
ENSG00000207160	RNU6-1289P	"RNA, U6 small nuclear 1289, pseudogene"
ENSG00000207161	RF00019	""
ENSG00000207162	RNU6-549P	"RNA, U6 small nuclear 549, pseudogene"
ENSG00000207163	RNU6-905P	"RNA, U6 small nuclear 905, pseudogene"
ENSG00000207164	RF00019	""
ENSG00000207165	SNORA70	"small nucleolar RNA, H/ACA box 70"
ENSG00000207166	SNORA68	"small nucleolar RNA, H/ACA box 68"
ENSG00000207167	RNU6-1340P	"RNA, U6 small nuclear 1340, pseudogene"
ENSG00000207168	SNORA15	"small nucleolar RNA, H/ACA box 15"
ENSG00000207169	RNU6-24P	"RNA, U6 small nuclear 24, pseudogene"
ENSG00000207170	RNU6-1215P	"RNA, U6 small nuclear 1215, pseudogene"
ENSG00000207171	RF00432	""
ENSG00000207172	RNU6-1162P	"RNA, U6 small nuclear 1162, pseudogene"
ENSG00000207173	RF00019	""
ENSG00000207174	SNORD116-15	"small nucleolar RNA, C/D box 116-15"
ENSG00000207175	RNU1-67P	"RNA, U1 small nuclear 67, pseudogene"
ENSG00000207176	RF00019	""
ENSG00000207177	RF00432	""
ENSG00000207178	RNU6-1122P	"RNA, U6 small nuclear 1122, pseudogene"
ENSG00000207180	RNU6-411P	"RNA, U6 small nuclear 411, pseudogene"
ENSG00000207181	SNORA14B	"small nucleolar RNA, H/ACA box 14B"
ENSG00000207182	RNU1-44P	"RNA, U1 small nuclear 44, pseudogene"
ENSG00000207183	RNU6-843P	"RNA, U6 small nuclear 843, pseudogene"
ENSG00000207185	RNU6-1157P	"RNA, U6 small nuclear 1157, pseudogene"
ENSG00000207186	RNA5SP122	"RNA, 5S ribosomal pseudogene 122"
ENSG00000207187	SNORA10B	"small nucleolar RNA, H/ACA box 10B"
ENSG00000207189	RF00019	""
ENSG00000207190	RNU6-809P	"RNA, U6 small nuclear 809, pseudogene"
ENSG00000207191	SNORD116-5	"small nucleolar RNA, C/D box 116-5"
ENSG00000207192	RNU6-649P	"RNA, U6 small nuclear 649, pseudogene"
ENSG00000207193	RF00019	""
ENSG00000207194	RNU6-1026P	"RNA, U6 small nuclear 1026, pseudogene"
ENSG00000207195	RF00019	""
ENSG00000207196	RF00019	""
ENSG00000207197	SNORD116-12	"small nucleolar RNA, C/D box 116-12"
ENSG00000207198	RNU6-1195P	"RNA, U6 small nuclear 1195, pseudogene"
ENSG00000207199	RF00212	""
ENSG00000207200	RNU6-45P	"RNA, U6 small nuclear 45, pseudogene"
ENSG00000207201	RNU1-148P	"RNA, U1 small nuclear 148, pseudogene"
ENSG00000207202	RNU6-800P	"RNA, U6 small nuclear 800, pseudogene"
ENSG00000207203	RNU6-71P	"RNA, U6 small nuclear 71, pseudogene"
ENSG00000207204	RNU6-393P	"RNA, U6 small nuclear 393, pseudogene"
ENSG00000207205	RNVU1-15	"RNA, variant U1 small nuclear 15"
ENSG00000207206	RNU6-1035P	"RNA, U6 small nuclear 1035, pseudogene"
ENSG00000207207	RF00019	""
ENSG00000207208	RNU6-790P	"RNA, U6 small nuclear 790, pseudogene"
ENSG00000207209	RF00019	""
ENSG00000207210	RF00019	""
ENSG00000207214	RNU6-102P	"RNA, U6 small nuclear 102, pseudogene"
ENSG00000207215	SNORD3H	"small nucleolar RNA, C/D box 3H"
ENSG00000207217	SNORA80D	"small nucleolar RNA, H/ACA box 80D"
ENSG00000207218	RF00019	""
ENSG00000207220	RNU1-57P	"RNA, U1 small nuclear 57, pseudogene"
ENSG00000207221	SNORA70E	"small nucleolar RNA, H/ACA box 70E"
ENSG00000207222	RNU6-456P	"RNA, U6 small nuclear 456, pseudogene"
ENSG00000207223	RF00019	""
ENSG00000207225	RNU6-692P	"RNA, U6 small nuclear 692, pseudogene"
ENSG00000207227	RNU6-900P	"RNA, U6 small nuclear 900, pseudogene"
ENSG00000207229	RF00019	""
ENSG00000207231	RF00019	""
ENSG00000207233	SNORA37	"small nucleolar RNA, H/ACA box 37"
ENSG00000207234	RNU6-125P	"RNA, U6 small nuclear 125, pseudogene"
ENSG00000207235	RF00019	""
ENSG00000207237	RNU6-110P	"RNA, U6 small nuclear 110, pseudogene"
ENSG00000207240	RF00019	""
ENSG00000207241	SNORD45A	"small nucleolar RNA, C/D box 45A"
ENSG00000207242	RNU6-1065P	"RNA, U6 small nuclear 1065, pseudogene"
ENSG00000207243	RF00019	""
ENSG00000207244	RF00156	""
ENSG00000207245	SNORD116-29	"small nucleolar RNA, C/D box 116-29"
ENSG00000207247	RF00019	""
ENSG00000207248	RNU6-1005P	"RNA, U6 small nuclear 1005, pseudogene"
ENSG00000207249	RF00139	""
ENSG00000207251	RNU6-342P	"RNA, U6 small nuclear 342, pseudogene"
ENSG00000207252	RF00019	""
ENSG00000207255	RNU6-1117P	"RNA, U6 small nuclear 1117, pseudogene"
ENSG00000207256	RNU6-880P	"RNA, U6 small nuclear 880, pseudogene"
ENSG00000207257	RNU6-18P	"RNA, U6 small nuclear 18, pseudogene"
ENSG00000207258	RF00019	""
ENSG00000207260	RNU6-35P	"RNA, U6 small nuclear 35, pseudogene"
ENSG00000207261	RNU6-738P	"RNA, U6 small nuclear 738, pseudogene"
ENSG00000207263	SNORD116-16	"small nucleolar RNA, C/D box 116-16"
ENSG00000207264	RNU6-15P	"RNA, U6 small nuclear 15, pseudogene"
ENSG00000207265	RF00019	""
ENSG00000207266	RNU6-1241P	"RNA, U6 small nuclear 1241, pseudogene"
ENSG00000207267	RNU6-1081P	"RNA, U6 small nuclear 1081, pseudogene"
ENSG00000207268	SNORA70C	"small nucleolar RNA, H/ACA box 70C"
ENSG00000207269	RN7SKP62	"RNA, 7SK small nuclear pseudogene 62"
ENSG00000207270	RNU6-601P	"RNA, U6 small nuclear 601, pseudogene"
ENSG00000207271	RF00019	""
ENSG00000207274	SNORA70I	"small nucleolar RNA, H/ACA box 70I"
ENSG00000207275	RNU6-441P	"RNA, U6 small nuclear 441, pseudogene"
ENSG00000207276	RNU6-1160P	"RNA, U6 small nuclear 1160, pseudogene"
ENSG00000207277	RNA5SP284	"RNA, 5S ribosomal pseudogene 284"
ENSG00000207278	RNU6-831P	"RNA, U6 small nuclear 831, pseudogene"
ENSG00000207279	SNORD116-24	"small nucleolar RNA, C/D box 116-24"
ENSG00000207280	SNORD20	"small nucleolar RNA, C/D box 20"
ENSG00000207281	RF00019	""
ENSG00000207282	RF00019	""
ENSG00000207283	RF00019	""
ENSG00000207286	RF00019	""
ENSG00000207287	RNU6-1274P	"RNA, U6 small nuclear 1274, pseudogene"
ENSG00000207289	RNU6-1235P	"RNA, U6 small nuclear 1235, pseudogene"
ENSG00000207290	RF00019	""
ENSG00000207291	RNU6-30P	"RNA, U6 small nuclear 30, pseudogene"
ENSG00000207292	RF00019	""
ENSG00000207293	RF00019	""
ENSG00000207294	RF00019	""
ENSG00000207295	RNU6-851P	"RNA, U6 small nuclear 851, pseudogene"
ENSG00000207296	RNU6-140P	"RNA, U6 small nuclear 140, pseudogene"
ENSG00000207297	SNORD7	"small nucleolar RNA, C/D box 7"
ENSG00000207298	RNU6-83P	"RNA, U6 small nuclear 83, pseudogene"
ENSG00000207299	RF00275	""
ENSG00000207300	RF00019	""
ENSG00000207302	RF00019	""
ENSG00000207303	RF00019	""
ENSG00000207304	SNORA8	"small nucleolar RNA, H/ACA box 8"
ENSG00000207305	RF00019	""
ENSG00000207306	RNU6-1152P	"RNA, U6 small nuclear 1152, pseudogene"
ENSG00000207307	RNU6-145P	"RNA, U6 small nuclear 145, pseudogene"
ENSG00000207308	RNU6-878P	"RNA, U6 small nuclear 878, pseudogene"
ENSG00000207309	RNU4-70P	"RNA, U4 small nuclear 70, pseudogene"
ENSG00000207310	RNU6-1127P	"RNA, U6 small nuclear 1127, pseudogene"
ENSG00000207312	RNU6-429P	"RNA, U6 small nuclear 429, pseudogene"
ENSG00000207313	SNORA2B	"small nucleolar RNA, H/ACA box 2B"
ENSG00000207316	RF00019	""
ENSG00000207317	RF00019	""
ENSG00000207318	RNU6-1184P	"RNA, U6 small nuclear 1184, pseudogene"
ENSG00000207319	RF00019	""
ENSG00000207320	RF00019	""
ENSG00000207321	RNU6-160P	"RNA, U6 small nuclear 160, pseudogene"
ENSG00000207322	RNU1-89P	"RNA, U1 small nuclear 89, pseudogene"
ENSG00000207323	RNU6-901P	"RNA, U6 small nuclear 901, pseudogene"
ENSG00000207325	RNY1P4	"RNA, Ro-associated Y1 pseudogene 4"
ENSG00000207326	RF00019	""
ENSG00000207327	RNU6-883P	"RNA, U6 small nuclear 883, pseudogene"
ENSG00000207328	RNU6-636P	"RNA, U6 small nuclear 636, pseudogene"
ENSG00000207329	RF00019	""
ENSG00000207330	RNU6-73P	"RNA, U6 small nuclear 73, pseudogene"
ENSG00000207331	RNU6-1263P	"RNA, U6 small nuclear 1263, pseudogene"
ENSG00000207332	RNU6-146P	"RNA, U6 small nuclear 146, pseudogene"
ENSG00000207333	RNU6-680P	"RNA, U6 small nuclear 680, pseudogene"
ENSG00000207334	RNU6-12P	"RNA, U6 small nuclear 12, pseudogene"
ENSG00000207336	RNU6-658P	"RNA, U6 small nuclear 658, pseudogene"
ENSG00000207338	RNU6-296P	"RNA, U6 small nuclear 296, pseudogene"
ENSG00000207340	RNVU1-1	"RNA, variant U1 small nuclear 1"
ENSG00000207341	RNA5SP64	"RNA, 5S ribosomal pseudogene 64"
ENSG00000207342	RF00019	""
ENSG00000207343	RNU6-225P	"RNA, U6 small nuclear 225, pseudogene"
ENSG00000207344	SNORA22C	"small nucleolar RNA, H/ACA box 22C"
ENSG00000207345	RNU6-1222P	"RNA, U6 small nuclear 1222, pseudogene"
ENSG00000207347	RNU6-306P	"RNA, U6 small nuclear 306, pseudogene"
ENSG00000207349	RNVU1-17	"RNA, variant U1 small nuclear 17"
ENSG00000207351	RF00019	""
ENSG00000207352	RNU6-540P	"RNA, U6 small nuclear 540, pseudogene"
ENSG00000207355	RNU6-1257P	"RNA, U6 small nuclear 1257, pseudogene"
ENSG00000207356	RF00019	""
ENSG00000207357	RNU6-2	"RNA, U6 small nuclear 2"
ENSG00000207359	RNU6-925P	"RNA, U6 small nuclear 925, pseudogene"
ENSG00000207360	RNU6-14P	"RNA, U6 small nuclear 14, pseudogene"
ENSG00000207361	RNU6-178P	"RNA, U6 small nuclear 178, pseudogene"
ENSG00000207362	RNU6-422P	"RNA, U6 small nuclear 422, pseudogene"
ENSG00000207363	RF00019	""
ENSG00000207364	RNU6-939P	"RNA, U6 small nuclear 939, pseudogene"
ENSG00000207365	RF00019	""
ENSG00000207366	RNU6-297P	"RNA, U6 small nuclear 297, pseudogene"
ENSG00000207367	RNU6-29P	"RNA, U6 small nuclear 29, pseudogene"
ENSG00000207368	RF00019	""
ENSG00000207369	RNU6-665P	"RNA, U6 small nuclear 665, pseudogene"
ENSG00000207370	RF00019	""
ENSG00000207371	RF00019	""
ENSG00000207375	SNORD116-23	"small nucleolar RNA, C/D box 116-23"
ENSG00000207378	RNU6-748P	"RNA, U6 small nuclear 748, pseudogene"
ENSG00000207379	RF00019	""
ENSG00000207380	RF00019	""
ENSG00000207381	RNU6-950P	"RNA, U6 small nuclear 950, pseudogene"
ENSG00000207382	RF00019	""
ENSG00000207383	RF00019	""
ENSG00000207384	RF00019	""
ENSG00000207385	RNU6-310P	"RNA, U6 small nuclear 310, pseudogene"
ENSG00000207386	RF00019	""
ENSG00000207387	RF00019	""
ENSG00000207389	RNU1-4	"RNA, U1 small nuclear 4"
ENSG00000207390	RF00019	""
ENSG00000207391	RF00019	""
ENSG00000207392	SNORA20	"small nucleolar RNA, H/ACA box 20"
ENSG00000207393	RNU6-136P	"RNA, U6 small nuclear 136, pseudogene"
ENSG00000207394	RNU6-1060P	"RNA, U6 small nuclear 1060, pseudogene"
ENSG00000207395	RF00019	""
ENSG00000207397	RNU6-1179P	"RNA, U6 small nuclear 1179, pseudogene"
ENSG00000207399	RNU6-1011P	"RNA, U6 small nuclear 1011, pseudogene"
ENSG00000207401	RF00019	""
ENSG00000207402	RNU6-959P	"RNA, U6 small nuclear 959, pseudogene"
ENSG00000207403	RF00019	""
ENSG00000207404	RF00019	""
ENSG00000207405	SNORA64	"small nucleolar RNA, H/ACA box 64"
ENSG00000207406	SNORA41	"small nucleolar RNA, H/ACA box 41"
ENSG00000207407	RF00408	""
ENSG00000207408	RF00019	""
ENSG00000207410	RF00393	""
ENSG00000207411	RF00019	""
ENSG00000207412	RNU6-455P	"RNA, U6 small nuclear 455, pseudogene"
ENSG00000207414	RNU6-768P	"RNA, U6 small nuclear 768, pseudogene"
ENSG00000207415	RNU6-1151P	"RNA, U6 small nuclear 1151, pseudogene"
ENSG00000207416	RF00019	""
ENSG00000207417	RF00019	""
ENSG00000207419	RF00272	""
ENSG00000207420	RF00019	""
ENSG00000207421	SNORD38B	"small nucleolar RNA, C/D box 38B"
ENSG00000207422	RNU6-813P	"RNA, U6 small nuclear 813, pseudogene"
ENSG00000207425	RF00019	""
ENSG00000207426	RF00019	""
ENSG00000207428	RNU6-95P	"RNA, U6 small nuclear 95, pseudogene"
ENSG00000207430	RF00096	""
ENSG00000207431	RNU6-906P	"RNA, U6 small nuclear 906, pseudogene"
ENSG00000207432	RF00096	""
ENSG00000207433	RNU6-246P	"RNA, U6 small nuclear 246, pseudogene"
ENSG00000207434	RNU6-1072P	"RNA, U6 small nuclear 1072, pseudogene"
ENSG00000207435	RNU6-114P	"RNA, U6 small nuclear 114, pseudogene"
ENSG00000207438	RF00019	""
ENSG00000207439	RF00019	""
ENSG00000207440	RNU6-541P	"RNA, U6 small nuclear 541, pseudogene"
ENSG00000207441	RNU6-21P	"RNA, U6 small nuclear 21, pseudogene"
ENSG00000207442	SNORD116-6	"small nucleolar RNA, C/D box 116-6"
ENSG00000207443	RNU6-417P	"RNA, U6 small nuclear 417, pseudogene"
ENSG00000207444	SNORD56B	"small nucleolar RNA, C/D box 56B"
ENSG00000207445	SNORD15B	"small nucleolar RNA, C/D box 15B"
ENSG00000207448	RNU6-520P	"RNA, U6 small nuclear 520, pseudogene"
ENSG00000207449	RNU6-19P	"RNA, U6 small nuclear 19, pseudogene"
ENSG00000207450	RF00019	""
ENSG00000207451	RNU6-291P	"RNA, U6 small nuclear 291, pseudogene"
ENSG00000207452	RNU6-606P	"RNA, U6 small nuclear 606, pseudogene"
ENSG00000207453	RNU6-535P	"RNA, U6 small nuclear 535, pseudogene"
ENSG00000207454	RNU6-1104P	"RNA, U6 small nuclear 1104, pseudogene"
ENSG00000207455	RNU6-331P	"RNA, U6 small nuclear 331, pseudogene"
ENSG00000207456	RNU6-997P	"RNA, U6 small nuclear 997, pseudogene"
ENSG00000207457	RNU6-476P	"RNA, U6 small nuclear 476, pseudogene"
ENSG00000207458	RNY3P9	"RNA, Ro-associated Y3 pseudogene 9"
ENSG00000207459	RNU6-1311P	"RNA, U6 small nuclear 1311, pseudogene"
ENSG00000207460	SNORD116-19	"small nucleolar RNA, C/D box 116-19"
ENSG00000207461	RNU6-253P	"RNA, U6 small nuclear 253, pseudogene"
ENSG00000207462	RNU6-376P	"RNA, U6 small nuclear 376, pseudogene"
ENSG00000207466	RF00019	""
ENSG00000207467	RF00019	""
ENSG00000207468	SNORA19	"small nucleolar RNA, H/ACA box 19"
ENSG00000207472	RNU6-41P	"RNA, U6 small nuclear 41, pseudogene"
ENSG00000207473	RF00019	""
ENSG00000207474	RNY1P7	"RNA, Ro-associated Y1 pseudogene 7"
ENSG00000207475	SNORA80E	"small nucleolar RNA, H/ACA box 80E"
ENSG00000207476	RNU6-286P	"RNA, U6 small nuclear 286, pseudogene"
ENSG00000207477	RNU6-318P	"RNA, U6 small nuclear 318, pseudogene"
ENSG00000207480	RF00019	""
ENSG00000207481	RF00019	""
ENSG00000207483	RNU6-1067P	"RNA, U6 small nuclear 1067, pseudogene"
ENSG00000207484	RF00019	""
ENSG00000207486	RNU6-1044P	"RNA, U6 small nuclear 1044, pseudogene"
ENSG00000207488	RF00019	""
ENSG00000207490	RNU6-987P	"RNA, U6 small nuclear 987, pseudogene"
ENSG00000207492	RNU6-713P	"RNA, U6 small nuclear 713, pseudogene"
ENSG00000207493	SNORA46	"small nucleolar RNA, H/ACA box 46"
ENSG00000207494	RF00019	""
ENSG00000207495	RNY3P10	"RNA, Ro-associated Y3 pseudogene 10"
ENSG00000207496	SNORA7A	"small nucleolar RNA, H/ACA box 7A"
ENSG00000207497	RF00019	""
ENSG00000207499	RF00019	""
ENSG00000207500	SNORD102	"small nucleolar RNA, C/D box 102"
ENSG00000207501	RNVU1-14	"RNA, variant U1 small nuclear 14"
ENSG00000207502	RF00406	""
ENSG00000207503	RF00421	""
ENSG00000207504	RNU6-1031P	"RNA, U6 small nuclear 1031, pseudogene"
ENSG00000207505	RNU6-1105P	"RNA, U6 small nuclear 1105, pseudogene"
ENSG00000207507	RNU6-9	"RNA, U6 small nuclear 9"
ENSG00000207508	RNU6-1237P	"RNA, U6 small nuclear 1237, pseudogene"
ENSG00000207511	RNU6-771P	"RNA, U6 small nuclear 771, pseudogene"
ENSG00000207512	RF00019	""
ENSG00000207513	RNU1-3	"RNA, U1 small nuclear 3"
ENSG00000207515	RNU6-555P	"RNA, U6 small nuclear 555, pseudogene"
ENSG00000207516	SNORA41B	"small nucleolar RNA, H/ACA box 41B"
ENSG00000207518	RNU6-59P	"RNA, U6 small nuclear 59, pseudogene"
ENSG00000207523	SNORA66	"small nucleolar RNA, H/ACA box 66"
ENSG00000207524	RNU6-33P	"RNA, U6 small nuclear 33, pseudogene"
ENSG00000207525	RF00019	""
ENSG00000207546	MIR548C	"microRNA 548c"
ENSG00000207547	MIR25	"microRNA 25"
ENSG00000207548	MIR217	"microRNA 217"
ENSG00000207549	MIR521-2	"microRNA 521-2"
ENSG00000207550	MIR99B	"microRNA 99b"
ENSG00000207551	MIR608	"microRNA 608"
ENSG00000207552	MIR633	"microRNA 633"
ENSG00000207554	MIR647	"microRNA 647"
ENSG00000207559	MIR578	"microRNA 578"
ENSG00000207561	MIR635	"microRNA 635"
ENSG00000207562	MIR34C	"microRNA 34c"
ENSG00000207563	MIR23B	"microRNA 23b"
ENSG00000207568	MIR203A	"microRNA 203a"
ENSG00000207569	MIR433	"microRNA 433"
ENSG00000207571	MIR615	"microRNA 615"
ENSG00000207573	MIR550A2	"microRNA 550a-2"
ENSG00000207574	MIR661	"microRNA 661"
ENSG00000207575	MIR649	"microRNA 649"
ENSG00000207577	MIR587	"microRNA 587"
ENSG00000207578	MIR583	"microRNA 583"
ENSG00000207579	MIR662	"microRNA 662"
ENSG00000207580	MIR526B	"microRNA 526b"
ENSG00000207581	MIR199B	"microRNA 199b"
ENSG00000207582	MIR30B	"microRNA 30b"
ENSG00000207583	MIR606	"microRNA 606"
ENSG00000207585	MIR181D	"microRNA 181d"
ENSG00000207586	MIR135A2	"microRNA 135a-2"
ENSG00000207587	MIR544A	"microRNA 544a"
ENSG00000207588	MIR593	"microRNA 593"
ENSG00000207589	MIR508	"microRNA 508"
ENSG00000207590	MIR215	"microRNA 215"
ENSG00000207594	MIR520A	"microRNA 520a"
ENSG00000207595	MIR181A2	"microRNA 181a-2"
ENSG00000207597	MIR490	"microRNA 490"
ENSG00000207598	MIR124-3	"microRNA 124-3"
ENSG00000207599	MIR520E	"microRNA 520e"
ENSG00000207600	MIR598	"microRNA 598"
ENSG00000207604	MIR206	"microRNA 206"
ENSG00000207605	MIR191	"microRNA 191"
ENSG00000207606	MIR554	"microRNA 554"
ENSG00000207607	MIR200A	"microRNA 200a"
ENSG00000207608	MIR127	"microRNA 127"
ENSG00000207609	MIR491	"microRNA 491"
ENSG00000207611	MIR149	"microRNA 149"
ENSG00000207612	MIR604	"microRNA 604"
ENSG00000207613	MIR181C	"microRNA 181c"
ENSG00000207614	MIR193A	"microRNA 193a"
ENSG00000207615	MIR515-2	"microRNA 515-2"
ENSG00000207616	MIR515-1	"microRNA 515-1"
ENSG00000207617	MIR3074	"microRNA 3074"
ENSG00000207619	MIR585	"microRNA 585"
ENSG00000207620	MIR516A2	"microRNA 516a-2"
ENSG00000207622	MIR619	"microRNA 619"
ENSG00000207624	MIR194-1	"microRNA 194-1"
ENSG00000207625	MIR128-2	"microRNA 128-2"
ENSG00000207626	MIR562	"microRNA 562"
ENSG00000207627	MIR581	"microRNA 581"
ENSG00000207628	MIR651	"microRNA 651"
ENSG00000207629	MIR526A1	"microRNA 526a-1"
ENSG00000207630	MIR7-3	"microRNA 7-3"
ENSG00000207631	MIR641	"microRNA 641"
ENSG00000207632	MIR588	"microRNA 588"
ENSG00000207633	MIR505	"microRNA 505"
ENSG00000207634	MIR521-1	"microRNA 521-1"
ENSG00000207635	MIR499A	"microRNA 499a"
ENSG00000207637	MIR595	"microRNA 595"
